year,location_code,hs_product_code,export_value
2016,UKR,402,54113624
2016,UKR,409,104235738
2016,UKR,713,118626949
2016,UKR,802,77142217
2016,UKR,1001,2547124676
2016,UKR,1003,407783146
2016,UKR,1005,2399948315
2016,UKR,1101,47017911
2016,UKR,1201,627901906
2016,UKR,1205,360460751
2016,UKR,1206,95874793
2016,UKR,1207,43855901
2016,UKR,1507,123918294
2016,UKR,1512,3416821736
2016,UKR,1514,74899574
2016,UKR,1701,160557445
2016,UKR,1704,87000308
2016,UKR,1806,112690176
2016,UKR,1901,56005226
2016,UKR,1905,108195903
2016,UKR,2009,75462124
2016,UKR,2302,92641397
2016,UKR,2304,128516999
2016,UKR,2306,809467368
2016,UKR,2402,547959294
2016,UKR,2507,124040589
2016,UKR,2508,192179967
2016,UKR,2517,48883720
2016,UKR,2601,2221817534
2016,UKR,2614,98635912
2016,UKR,2701,145733180
2016,UKR,2707,43523166
2016,UKR,2710,59389037
2016,UKR,2711,247324354
2016,UKR,2716,246907078
2016,UKR,2804,63671022
2016,UKR,2814,366041417
2016,UKR,2818,399153524
2016,UKR,2844,130007330
2016,UKR,3004,117011937
2016,UKR,3102,333095685
2016,UKR,3206,57209181
2016,UKR,3920,60117787
2016,UKR,3923,86570247
2016,UKR,4011,40091867
2016,UKR,4104,64434934
2016,UKR,4401,115254762
2016,UKR,4402,57381328
2016,UKR,4403,198130096
2016,UKR,4407,484712671
2016,UKR,4408,161550662
2016,UKR,4410,88424876
2016,UKR,4412,76585126
2016,UKR,4415,42011417
2016,UKR,4418,111963019
2016,UKR,4805,43284026
2016,UKR,4811,113597834
2016,UKR,4814,107907208
2016,UKR,4818,97171418
2016,UKR,4819,67641737
2016,UKR,6104,46943021
2016,UKR,6201,46400560
2016,UKR,6202,42944917
2016,UKR,6203,146986557
2016,UKR,6204,110082642
2016,UKR,6406,75510467
2016,UKR,6908,66199693
2016,UKR,7010,91328142
2016,UKR,7201,572268737
2016,UKR,7202,673544379
2016,UKR,7204,75791929
2016,UKR,7207,2126936949
2016,UKR,7208,1441940720
2016,UKR,7209,305794553
2016,UKR,7210,95013033
2016,UKR,7213,347906898
2016,UKR,7214,483348988
2016,UKR,7216,272931206
2016,UKR,7217,61714112
2016,UKR,7222,68022530
2016,UKR,7225,67211919
2016,UKR,7228,110392692
2016,UKR,7304,309187944
2016,UKR,7306,95560212
2016,UKR,7308,71741091
2016,UKR,7326,100620530
2016,UKR,7403,46794512
2016,UKR,8108,67397700
2016,UKR,8309,62658244
2016,UKR,8406,45782737
2016,UKR,8409,41284978
2016,UKR,8411,254330490
2016,UKR,8413,105625315
2016,UKR,8414,76411374
2016,UKR,8431,51252671
2016,UKR,8443,56548976
2016,UKR,8481,57735580
2016,UKR,8482,68962789
2016,UKR,8483,57205752
2016,UKR,8501,60835331
2016,UKR,8504,94244255
2016,UKR,8516,120245337
2016,UKR,8517,158622604
2016,UKR,8528,82471023
2016,UKR,8536,101175180
2016,UKR,8543,43275059
2016,UKR,8544,1069302489
2016,UKR,8607,129145652
2016,UKR,8708,57547751
2016,UKR,8710,85608761
2016,UKR,8904,59915954
2016,UKR,9401,159133518
2016,UKR,9403,145307225
2016,UKR,9404,47764771
2016,UKR,9506,86176879
2016,UKR,9999,387924951
2016,UKR,207,151821343
2016,UKR,811,63451943
